,date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
87,2012-03-28,2012,03,28,52.2,25.7,1012.3,9.8,4.8,15.0,22.9,66.9,36.0,0.0,999.9,0
88,2012-03-29,2012,03,29,54.8,37.5,1006.0,10.0,8.1,19.0,27.0,64.0,46.0,0.02,999.9,0
89,2012-03-30,2012,03,30,46.2,23.0,1016.4,10.0,4.4,15.0,17.1,57.0,39.9,0.0,999.9,0
90,2012-03-31,2012,03,31,41.3,37.0,1012.9,7.2,6.6,14.0,22.0,46.9,36.0,0.36,999.9,0
91,2012-04-01,2012,04,01,45.7,37.3,1010.2,9.4,2.8,8.0,999.9,52.0,32.0,0.01,999.9,0
92,2012-04-02,2012,04,02,48.0,32.9,1006.4,8.7,5.5,11.1,22.0,55.9,37.9,0.55,999.9,0
93,2012-04-03,2012,04,03,50.5,16.2,1011.3,10.0,5.8,16.9,17.1,63.0,39.0,0.04,999.9,0
94,2012-04-04,2012,04,04,59.8,19.4,1004.3,10.0,4.1,13.0,22.0,66.9,45.0,0.0,999.9,0
95,2012-04-05,2012,04,05,49.6,25.8,1008.6,10.0,4.9,15.9,22.9,61.0,42.1,0.0,999.9,0
96,2012-04-06,2012,04,06,47.1,22.2,1013.9,10.0,5.8,9.9,17.1,59.0,37.9,0.0,999.9,0
97,2012-04-07,2012,04,07,49.9,17.6,1016.5,10.0,5.0,15.9,24.1,60.1,34.0,0.0,999.9,0
98,2012-04-08,2012,04,08,54.6,19.7,1011.2,10.0,6.7,14.0,28.9,66.0,39.9,0.0,999.9,0
99,2012-04-09,2012,04,09,56.5,22.0,1004.7,10.0,10.1,22.0,35.9,62.1,45.0,0.0,999.9,0
100,2012-04-10,2012,04,10,53.6,27.8,1005.6,10.0,4.6,14.0,15.9,59.0,45.0,0.0,999.9,0
101,2012-04-11,2012,04,11,47.6,30.1,1009.5,10.0,5.1,13.0,14.0,51.1,36.0,0.0,999.9,0
102,2012-04-12,2012,04,12,50.1,32.0,1014.6,10.0,4.3,9.9,18.1,61.0,43.0,0.0,999.9,0
103,2012-04-13,2012,04,13,53.2,28.7,1020.7,10.0,2.7,12.0,999.9,64.0,41.0,0.0,999.9,0
104,2012-04-14,2012,04,14,60.1,28.9,1020.4,10.0,3.3,13.0,999.9,71.1,46.9,0.0,999.9,0
105,2012-04-15,2012,04,15,67.7,47.8,1015.8,9.9,3.5,12.0,19.0,75.9,48.9,0.0,999.9,0
106,2012-04-16,2012,04,16,73.6,55.5,1015.1,9.3,4.1,9.9,15.9,84.9,53.1,0.0,999.9,0
107,2012-04-17,2012,04,17,73.3,44.1,1016.5,10.0,5.0,9.9,18.1,78.1,68.0,0.0,999.9,0
108,2012-04-18,2012,04,18,57.6,32.4,1022.2,10.0,5.2,21.0,999.9,70.0,48.9,0.0,999.9,0
109,2012-04-19,2012,04,19,56.0,44.5,1018.9,8.7,1.5,9.9,999.9,69.1,46.0,0.05,999.9,0
110,2012-04-20,2012,04,20,60.9,46.1,1016.2,10.0,3.6,11.1,17.1,69.1,46.9,0.04,999.9,0
111,2012-04-21,2012,04,21,61.6,54.8,1008.2,7.8,4.2,13.0,22.0,70.0,51.1,0.0,999.9,1
112,2012-04-22,2012,04,22,51.3,48.1,1006.4,7.4,6.5,19.0,29.9,63.0,46.0,0.22,999.9,1
113,2012-04-23,2012,04,23,50.0,47.3,990.8,5.5,7.8,22.9,28.0,55.9,48.0,2.67,999.9,0
114,2012-04-24,2012,04,24,48.5,32.5,998.4,10.0,6.8,22.0,999.9,59.0,41.0,0.22,999.9,0
115,2012-04-25,2012,04,25,52.9,32.2,1007.9,10.0,2.5,13.0,17.1,62.1,43.0,0.0,999.9,0
116,2012-04-26,2012,04,26,52.0,42.4,1011.0,8.3,4.6,13.0,15.0,59.0,43.0,0.0,999.9,0
117,2012-04-27,2012,04,27,50.4,37.6,1010.3,7.8,6.7,21.0,26.0,55.9,45.0,0.07,999.9,0
118,2012-04-28,2012,04,28,47.0,25.2,1021.3,10.0,5.8,19.0,999.9,60.1,37.9,0.04,999.9,0
119,2012-04-29,2012,04,29,53.4,23.2,1020.2,10.0,5.0,18.1,999.9,63.0,44.1,0.0,999.9,0
120,2012-04-30,2012,04,30,52.0,23.0,1025.2,10.0,4.0,8.9,999.9,60.1,42.1,0.0,999.9,0
121,2012-05-01,2012,05,01,56.9,50.4,1018.5,7.0,4.2,21.0,999.9,68.0,46.9,0.58,999.9,0
122,2012-05-02,2012,05,02,52.5,49.1,1020.0,8.0,4.9,14.0,999.9,61.0,46.9,0.04,999.9,0
123,2012-05-03,2012,05,03,53.4,51.3,1020.5,5.5,2.6,7.0,999.9,57.9,46.0,0.55,999.9,0
124,2012-05-04,2012,05,04,59.5,56.1,1014.8,4.9,1.6,12.0,999.9,73.0,48.9,0.1,999.9,0
125,2012-05-05,2012,05,05,59.1,55.5,1013.9,5.7,3.0,8.9,999.9,64.0,48.0,0.0,999.9,0
126,2012-05-06,2012,05,06,58.4,50.5,1018.3,8.6,3.1,13.0,999.9,64.0,46.9,0.0,999.9,0
127,2012-05-07,2012,05,07,56.8,43.8,1019.7,10.0,2.9,6.0,999.9,64.0,41.0,0.0,999.9,0
128,2012-05-08,2012,05,08,58.5,49.8,1015.4,9.7,4.4,15.9,20.0,64.9,50.0,0.01,999.9,0
129,2012-05-09,2012,05,09,62.9,61.0,1007.7,4.6,2.6,16.9,999.9,69.1,53.1,0.23,999.9,0
130,2012-05-10,2012,05,10,59.1,49.1,1001.9,7.3,5.0,22.0,24.1,64.9,53.6,0.33,999.9,0
131,2012-05-11,2012,05,11,58.2,34.4,1013.2,10.0,5.3,14.0,19.0,68.0,48.9,0.19,999.9,0
132,2012-05-12,2012,05,12,65.0,35.6,1021.1,10.0,3.3,15.9,999.9,77.0,43.0,0.0,999.9,0
133,2012-05-13,2012,05,13,70.9,48.1,1020.7,10.0,3.8,12.0,999.9,80.1,52.0,0.0,999.9,0
134,2012-05-14,2012,05,14,67.7,57.9,1019.9,9.7,3.8,12.0,19.0,73.0,55.0,0.0,999.9,0
135,2012-05-15,2012,05,15,62.8,59.9,1018.6,6.5,3.7,12.0,15.0,64.9,54.0,0.01,999.9,1
136,2012-05-16,2012,05,16,66.4,63.2,1012.1,3.5,2.0,8.9,999.9,78.1,57.9,0.62,999.9,1
137,2012-05-17,2012,05,17,65.0,45.3,1016.5,10.0,4.0,14.0,999.9,73.0,53.1,0.09,999.9,1
138,2012-05-18,2012,05,18,62.1,42.1,1021.8,10.0,3.7,11.1,999.9,71.1,44.1,0.0,999.9,0
