date,weekday_num,temp,slp,wdsp,collisions
2013-07-08,1,72.6,1015.5,10.7,474.0
2013-07-09,2,72.7,1018.0,7.0,449.0
2013-07-10,3,71.1,1015.5,7.1,330.0
2013-07-11,4,71.8,1011.6,9.5,350.0
2013-07-12,5,69.4,1015.9,6.7,482.0
2013-07-13,6,67.9,1024.4,6.2,443.0
2013-07-14,0,72.9,1025.1,5.3,276.0
2013-07-15,1,76.3,1021.6,5.7,459.0
2013-07-16,2,77.4,1019.6,7.3,451.0
2013-07-17,3,72.9,1020.8,5.6,262.0
2013-07-18,4,75.6,1016.6,6.8,342.0
2013-07-19,5,73.9,1013.4,9.6,317.0
2013-07-20,6,74.5,1008.8,11.8,434.0
2013-07-21,0,72.8,1012.6,5.3,305.0
2013-07-22,1,68.3,1015.1,5.1,468.0
2013-07-23,2,72.1,1007.1,8.1,469.0
2013-07-24,3,74.9,1006.7,8.4,455.0
2013-07-25,4,67.7,1014.3,13.8,419.0
2013-07-26,5,66.1,1012.2,15.0,345.0
2013-07-27,6,69.1,1018.0,8.8,428.0
2013-07-28,0,69.8,1015.8,6.5,288.0
2013-07-29,1,69.2,1017.1,5.3,484.0
2013-07-30,2,71.2,1018.0,7.8,472.0
2013-07-31,3,70.6,1019.3,6.7,448.0
2013-08-01,4,68.9,1016.5,5.3,193.0
2013-08-02,5,69.7,1011.1,8.3,488.0
2013-08-03,6,69.3,1011.8,10.9,305.0
2013-08-04,0,69.4,1009.8,8.3,256.0
2013-08-05,1,68.1,1013.3,12.2,435.0
2013-08-06,2,66.2,1019.1,5.3,437.0
2013-08-07,3,64.5,1022.0,5.1,411.0
2013-08-08,4,67.8,1020.1,6.7,426.0
2013-08-09,5,70.7,1016.9,13.1,300.0
2013-08-10,6,72.4,1012.3,11.2,396.0
2013-08-11,0,69.5,1017.0,7.5,294.0
2013-08-12,1,68.2,1016.8,7.2,409.0
2013-08-13,2,67.8,1011.1,3.4,440.0
2013-08-14,3,68.4,1007.5,9.6,356.0
2013-08-15,4,67.2,1016.9,10.2,474.0
2013-08-16,5,67.4,1021.2,8.2,215.0
2013-08-17,6,67.3,1023.8,3.2,348.0
2013-08-18,0,64.8,1023.8,3.3,266.0
2013-08-19,1,65.5,1017.5,8.1,373.0
2013-08-20,2,71.0,1017.3,7.0,370.0
2013-08-21,3,70.3,1020.1,6.5,431.0
2013-08-22,4,70.5,1016.9,9.8,463.0
2013-08-23,5,70.6,1013.1,12.1,271.0
2013-08-24,6,66.2,1022.3,10.7,327.0
2013-08-25,0,64.0,1026.6,6.7,366.0
2013-08-26,1,68.3,1020.1,11.2,412.0
2013-08-27,2,68.0,1011.8,8.0,296.0
2013-08-28,3,66.4,1012.0,6.8,343.0
2013-08-29,4,65.7,1014.4,11.3,467.0
2013-08-30,5,65.0,1014.8,10.8,465.0
2013-08-31,6,69.4,1011.9,10.9,383.0
2013-09-01,0,70.7,1012.4,10.1,201.0
2013-09-02,1,70.8,1010.3,7.7,244.0
2013-09-03,2,70.1,1008.1,6.8,448.0
2013-09-04,3,68.5,1011.4,8.8,458.0
2013-09-05,4,67.4,1013.8,10.4,341.0
2013-09-06,5,60.3,1021.1,5.3,309.0
2013-09-07,6,63.6,1017.9,10.2,465.0
2013-09-08,0,68.0,1010.5,13.3,414.0
2013-09-09,1,59.8,1021.4,8.2,514.0
2013-09-10,2,65.5,1022.0,10.1,340.0
2013-09-11,3,69.9,1019.3,10.9,478.0
2013-09-12,4,70.2,1013.7,11.4,221.0
2013-09-13,5,69.1,1004.5,8.9,358.0
2013-09-14,6,64.5,1010.4,9.1,416.0
2013-09-15,0,61.2,1019.4,6.6,295.0
2013-09-16,1,62.4,1017.9,7.4,466.0
2013-09-17,2,56.1,1024.7,16.3,340.0
2013-09-18,3,56.1,1025.2,5.8,451.0
2013-09-19,4,62.4,1020.3,9.6,420.0
2013-09-20,5,62.6,1018.4,6.2,271.0
2013-09-21,6,63.6,1015.6,7.8,435.0
2013-09-22,0,66.3,1007.0,9.8,448.0
2013-09-23,1,57.5,1011.2,10.4,444.0
2013-09-24,2,54.5,1013.0,8.4,479.0
2013-09-25,3,55.3,1012.3,4.5,297.0
2013-09-26,4,56.8,1015.6,8.0,423.0
2013-09-27,5,58.1,1020.2,11.5,430.0
2013-09-28,6,59.2,1024.6,7.4,435.0
2013-09-29,0,54.9,1022.8,7.8,414.0
2013-09-30,1,59.5,1016.9,10.4,478.0
2013-10-01,2,62.1,1012.9,8.0,477.0
2013-10-02,3,64.8,1012.1,8.7,330.0
2013-10-03,4,65.8,1016.4,6.5,480.0
2013-10-04,5,62.8,1017.7,5.2,296.0
2013-10-05,6,61.3,1018.0,4.2,406.0
2013-10-06,0,59.1,1021.1,7.2,43.0
2013-10-07,1,65.7,1017.4,11.9,492.0
2013-10-08,2,61.5,1019.7,12.2,456.0
2013-10-09,3,56.4,1027.9,11.6,429.0
2013-10-10,4,58.4,1024.3,11.6,395.0
2013-10-11,5,60.6,1018.4,13.3,338.0
2013-10-12,6,58.6,1021.7,13.2,445.0
2013-10-13,0,55.1,1027.8,11.4,400.0
2013-10-14,1,51.5,1027.0,4.6,166.0
2013-10-15,2,53.9,1023.8,6.3,415.0
2013-10-16,3,57.5,1017.7,9.3,455.0
2013-10-17,4,59.4,1011.5,6.1,459.0
2013-10-18,5,62.3,1008.3,11.0,386.0
2013-10-19,6,57.3,1013.9,6.2,283.0
2013-10-20,0,58.3,1010.3,9.4,273.0
2013-10-21,1,54.4,1018.5,7.1,328.0
2013-10-22,2,59.1,1012.5,6.1,445.0
2013-10-23,3,52.5,1005.8,7.9,450.0
2013-10-24,4,48.4,1007.5,10.8,504.0
2013-10-25,5,48.0,1015.2,9.2,345.0
2013-10-26,6,49.0,1020.1,13.7,487.0
2013-10-27,0,54.3,1012.5,13.8,400.0
2013-10-28,1,50.7,1020.4,10.3,492.0
2013-10-29,2,47.5,1027.6,6.8,466.0
2013-10-30,3,46.8,1025.8,5.2,412.0
2013-10-31,4,54.8,1021.4,6.0,478.0
2013-11-01,5,62.3,1008.7,18.2,379.0
2013-11-02,6,57.4,1003.8,5.6,441.0
2013-11-03,0,49.4,1013.0,12.0,208.0
2013-11-04,1,42.0,1032.0,13.9,532.0
2013-11-05,2,43.5,1037.8,3.9,297.0
