date,temp,slp,wdsp,gust,BRONX,BROOKLYN,MANHATTAN,QUEENS,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2013-03-13,46.3,1007.6,13.1,26.0,0.6666666666666666,0.9555555555555556,,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2013-03-14,37.0,1007.7,10.4,26.0,0.8205128205128205,1.0,0.5952380952380952,0.041666666666666664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2013-03-15,31.2,1009.1,18.5,36.9,1.0,0.7333333333333333,1.0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2013-03-16,37.1,1008.1,10.2,25.1,0.5384615384615384,0.13333333333333333,0.23809523809523808,0.7291666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-03-17,34.8,1014.7,7.5,20.0,0.05128205128205128,0.08888888888888889,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2013-03-18,32.1,1027.6,9.0,20.0,,0.7111111111111111,0.8571428571428571,0.8125,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2013-03-19,39.6,1012.4,16.5,33.0,0.6666666666666666,0.4888888888888889,0.07142857142857142,0.875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2013-03-20,36.5,1007.3,17.9,32.1,0.4358974358974359,0.6,0.38095238095238093,0.5625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2013-03-21,38.3,1006.7,10.9,27.0,0.28205128205128205,0.4666666666666667,0.0,0.3125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2013-03-22,34.3,1003.8,13.6,26.0,0.358974358974359,0.9333333333333333,0.4523809523809524,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2013-03-23,38.5,1006.3,15.9,39.0,0.3333333333333333,,0.3333333333333333,0.3125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-03-24,39.1,1008.5,10.4,22.0,0.10256410256410256,0.17777777777777778,0.14285714285714285,0.16666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
