date,temp,slp,wdsp,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,collisions
2013-05-07,54.4,1021.9,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4284883199138418
2013-05-08,59.4,1021.5,10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5666677961507184
2013-05-09,57.2,1015.2,6.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.4276723440029892
2013-05-10,56.1,1014.8,8.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5357843442520862
2013-05-11,56.2,1013.1,9.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.17721581875993642
2013-05-12,56.2,1005.6,11.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.21286348017847068
2013-05-13,53.1,1013.5,11.9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.37558084480522813
2013-05-14,51.0,1015.8,11.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.2989885470317159
2013-05-15,53.1,1016.5,12.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.16900843816166397
2013-05-16,57.7,1006.9,12.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3947253705318221
2013-05-17,58.2,1013.8,10.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4497153700189753
2013-05-18,54.6,1025.3,5.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.23496969624815925
2013-05-19,56.3,1027.4,6.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.27301468756639535
2013-05-20,57.5,1020.4,10.3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.6681198852688416
2013-05-21,58.0,1014.3,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4891409266409266
2013-05-22,57.8,1013.8,7.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.3575341317869781
2013-05-23,61.5,1015.1,13.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.353835453100159
2013-05-24,61.0,1009.8,14.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.6246957261544548
